Year,Quarter,Region,Age,Gender,Employment rate of people with mental illness,Employment rate of population ,Composite Year
2008,2,England,45 to 49,Any,25,83,'08
2008,2,England,50 to 54,Any,29,80,'08
2008,2,England,55 to 59,Any,22,71,'08
2008,2,England,60 to 64,Any,15,46,'08
2008,1,England,16 to 19,Any,20,44,'08
2008,1,England,20 to 24,Any,34,66,'08
2008,1,England,25 to 29,Any,35,80,'08
2008,1,England,30 to 34,Any,34,80,'08
2008,1,England,35 to 39,Any,25,80,'08
2008,1,England,40 to 44,Any,32,83,'08
2008,1,England,45 to 49,Any,27,83,'08
2008,1,England,50 to 54,Any,30,81,'08
2008,1,England,55 to 59,Any,21,70,'08
2008,1,England,60 to 64,Any,15,46,'08
2008,4,England,All,Any,27,72,'08
2008,3,England,All,Any,28,72,'08
2008,2,England,All,Any,27,72,'08
2008,1,England,All,Any,28,73,'08
2008,4,England,All,Female,27,66,'08
2008,4,England,All,Male,28,78,'08
2008,3,England,All,Female,28,66,'08
2008,3,England,All,Male,28,79,'08
2008,2,England,All,Female,27,66,'08
2008,2,England,All,Male,27,78,'08
2008,1,England,All,Female,25,66,'08
2008,1,England,All,Male,28,79,'08
2008,4,London ,All,Any,23,70,'08
2008,3,London ,All,Any,20,70,'08
2008,2,London ,All,Any,18,70,'08
2008,1,London ,All,Any,22,70,'08
2008,4,Merseyside ,All,Any,19,64,'08
2008,3,Merseyside ,All,Any,16,64,'08
2008,2,Merseyside ,All,Any,17,64,'08
2008,1,Merseyside ,All,Any,14,63,'08
2008,4,North East ,All,Any,19,68,'08
2008,3,North East ,All,Any,22,68,'08
2008,2,North East ,All,Any,19,68,'08
2008,1,North East ,All,Any,19,68,'08
2008,4,North West ,All,Any,23,70,'08
2008,3,North West ,All,Any,22,71,'08
2008,2,North West ,All,Any,22,71,'08
2008,1,North West ,All,Any,24,71,'08
2008,4,South East ,All,Any,34,76,'08
2008,3,South East ,All,Any,36,77,'08
2008,2,South East ,All,Any,40,77,'08
2008,1,South East ,All,Any,41,77,'08
2008,4,South West ,All,Any,32,76,'08
2008,3,South West ,All,Any,36,76,'08
